2014-06-06 13:02:11 Notice: Notice (8): Undefined property: Item::$Topic in [/home/rubencam/public_html/tesis/controllers/books_controller.php, line 93]
2014-06-06 13:02:11 Notice: Notice (8): Undefined property: Item::$Topic in [/home/rubencam/public_html/tesis/controllers/books_controller.php, line 93]
2014-06-06 13:02:12 Notice: Notice (8): Undefined property: Item::$Topic in [/home/rubencam/public_html/tesis/controllers/books_controller.php, line 93]
2014-07-03 12:15:32 Notice: Notice (8): Undefined property: Item::$Topic in [/home/rubencam/public_html/tesis/controllers/books_controller.php, line 93]
2014-07-24 17:53:08 Notice: Notice (8): Undefined property: Item::$Topic in [/home/rubencam/public_html/tesis/controllers/books_controller.php, line 93]
2014-08-16 11:17:12 Notice: Notice (8): Undefined property: Item::$Topic in [/home/rubencam/public_html/tesis/controllers/items_controller.php, line 207]
2014-08-25 10:38:48 Notice: Notice (8): Undefined variable: uploaddir in [/home/rubencam/public_html/tesis/controllers/books_controller.php, line 440]
2014-08-25 10:38:50 Notice: Notice (8): Undefined variable: uploaddir in [/home/rubencam/public_html/tesis/controllers/books_controller.php, line 448]
2014-09-10 12:35:59 Notice: Notice (8): Undefined variable: item in [/home/rubencam/public_html/tesis/views/books/add.ctp, line 3084]
2014-09-12 09:51:22 Notice: Notice (8): Undefined index: 041 in [/home/rubencam/public_html/tesis/views/books/edit.ctp, line 1561]
2014-09-12 09:51:22 Notice: Notice (8): Undefined index: 041 in [/home/rubencam/public_html/tesis/views/books/edit.ctp, line 1567]
2014-09-12 09:51:22 Notice: Notice (8): Undefined index: 041 in [/home/rubencam/public_html/tesis/views/books/edit.ctp, line 1568]
