2014-08-19 17:36:55 Warning: Warning (2): copy() [<a href='http://php.net/function.copy'>function.copy</a>]: Unable to access C:/Program Files/xampp/htdocs/tesis/webroot/files/1408486015_TEMA_7_-_SCORM.pdf in [/home/rubencam/public_html/tesis/controllers/items_controller.php, line 237]
2014-08-19 17:36:55 Warning: Warning (2): copy(C:/Program Files/xampp/htdocs/tesis/webroot/files/1408486015_TEMA_7_-_SCORM.pdf) [<a href='http://php.net/function.copy'>function.copy</a>]: failed to open stream: No such file or directory in [/home/rubencam/public_html/tesis/controllers/items_controller.php, line 237]
2014-08-19 17:36:57 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /home/rubencam/public_html/cakephp-1.3.17/cake/libs/debugger.php:686) in [/home/rubencam/public_html/cakephp-1.3.17/cake/libs/controller/controller.php, line 742]
2014-08-19 17:48:56 Warning: Warning (2): copy() [<a href='http://php.net/function.copy'>function.copy</a>]: Unable to access C:/Program Files/xampp/htdocs/tesis/webroot/files/1408486736_TEMA_7_-_SCORM.pdf in [/home/rubencam/public_html/tesis/controllers/items_controller.php, line 237]
2014-08-19 17:48:56 Warning: Warning (2): copy(C:/Program Files/xampp/htdocs/tesis/webroot/files/1408486736_TEMA_7_-_SCORM.pdf) [<a href='http://php.net/function.copy'>function.copy</a>]: failed to open stream: No such file or directory in [/home/rubencam/public_html/tesis/controllers/items_controller.php, line 237]
2014-08-19 17:48:56 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /home/rubencam/public_html/cakephp-1.3.17/cake/libs/debugger.php:686) in [/home/rubencam/public_html/cakephp-1.3.17/cake/libs/controller/controller.php, line 742]
2014-08-25 10:29:31 Warning: Warning (2): copy() [<a href='http://php.net/function.copy'>function.copy</a>]: Unable to access C:/Program Files (x86)/Apache Software Foundation/Apache2.2/htdocs/bvmjm/webroot/covers/1408978770_jjbenitez misociofavorito.jpg in [/home/rubencam/public_html/tesis/controllers/books_controller.php, line 440]
2014-08-25 10:29:31 Warning: Warning (2): copy(C:/Program Files (x86)/Apache Software Foundation/Apache2.2/htdocs/bvmjm/webroot/covers/1408978770_jjbenitez misociofavorito.jpg) [<a href='http://php.net/function.copy'>function.copy</a>]: failed to open stream: No such file or directory in [/home/rubencam/public_html/tesis/controllers/books_controller.php, line 440]
2014-08-25 10:29:31 Warning: Warning (2): copy() [<a href='http://php.net/function.copy'>function.copy</a>]: Unable to access C:/Program Files (x86)/Apache Software Foundation/Apache2.2/htdocs/bvmjm/webroot/files/1408978770_JJ_Benitez__Mi_Socio_Favorito.pdf in [/home/rubencam/public_html/tesis/controllers/books_controller.php, line 447]
2014-08-25 10:29:31 Warning: Warning (2): copy(C:/Program Files (x86)/Apache Software Foundation/Apache2.2/htdocs/bvmjm/webroot/files/1408978770_JJ_Benitez__Mi_Socio_Favorito.pdf) [<a href='http://php.net/function.copy'>function.copy</a>]: failed to open stream: No such file or directory in [/home/rubencam/public_html/tesis/controllers/books_controller.php, line 447]
2014-08-25 10:29:31 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /home/rubencam/public_html/cakephp-1.3.20/cake/libs/debugger.php:686) in [/home/rubencam/public_html/cakephp-1.3.20/cake/libs/controller/controller.php, line 742]
